Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
Q,40,2022,89,Business,Salaried,Agriculture,Civil,126030,68296,PQR,1,Self Business:109526,Contractual:53962,Salaried:118633,0
Q,43,2001,79,Business,Self Business,Civil,Civil,67717,51377,TUK,0,NA,NA,NA,0
Q,48,2023,53,Business,Contractual,IT,IT,115842,30958,GHI,1,Self Business:121069,Salaried:55720,Contractual:41681,0
D,44,2013,87,STEM,Self Business,IT,Civil,101641,68626,PQR,1,Salaried:26211,Salaried:22068,Self Business:40765,1
Q,42,2018,72,Business,Self Business,Finance,Civil,148398,70402,PQR,1,Contractual:109588,Contractual:134818,Self Business:47775,1
Q,47,2005,45,Business,Salaried,Agriculture,Agriculture,118730,69247,GHI,1,Salaried:128374,Self Business:140777,Self Business:144611,0
C,49,2022,50,STEM,Salaried,Agriculture,Finance,128960,41956,MNP,1,Self Business:80423,Contractual:119360,Contractual:135509,0
D,49,2020,49,Law,Self Business,Civil,Civil,77781,64352,ABC,1,Self Business:52642,Contractual:67915,Contractual:145638,1
D,48,2019,65,Business,Self Business,Finance,Agriculture,45094,69500,ABC,0,NA,NA,NA,0
P,40,2003,76,Law,Salaried,Agriculture,IT,84670,78602,GHI,1,Contractual:148183,Self Business:114379,Self Business:73532,0
Q,50,2011,81,Arts,Contractual,Agriculture,Agriculture,118521,69952,TUK,1,Salaried:59333,Salaried:90291,Self Business:111960,0
P,44,2011,68,Law,Contractual,IT,IT,47434,77023,XYZ,0,NA,NA,NA,0
Q,47,2014,54,Arts,Self Business,Agriculture,Civil,72981,31220,TUK,1,Self Business:71015,Salaried:132090,Salaried:44928,0
D,43,1999,48,Arts,Salaried,Finance,Finance,41557,60740,MNP,1,Salaried:28997,Self Business:25474,Salaried:40146,1
P,40,2005,50,Law,Self Business,IT,Agriculture,77622,45274,MNP,1,Salaried:120321,Self Business:137695,Salaried:139397,1
P,41,2002,80,STEM,Contractual,IT,Agriculture,20216,24106,GHI,0,NA,NA,NA,1
P,44,1999,69,Law,Self Business,Finance,Finance,117761,70792,PQR,1,Self Business:59490,Self Business:104048,Salaried:88606,0
Q,41,2001,62,Arts,Self Business,IT,IT,115676,33599,ABC,1,Contractual:90171,Contractual:51376,Salaried:142396,1
P,46,2004,54,Business,Salaried,Civil,Agriculture,53055,35698,MNP,1,Self Business:66529,Contractual:60368,Salaried:64886,1
P,50,2021,51,STEM,Contractual,IT,Finance,53746,28938,MNP,1,Contractual:43865,Contractual:80745,Self Business:133521,0
D,46,2019,82,STEM,Self Business,Civil,Finance,109772,64277,GHI,1,Contractual:38534,Self Business:35668,Salaried:40400,1
D,40,2015,62,STEM,Contractual,Finance,Civil,103004,50726,ABC,0,NA,NA,NA,0
P,45,2003,81,Arts,Salaried,Civil,IT,115136,52289,GHI,1,Self Business:55093,Contractual:79382,Salaried:132004,1
P,43,2007,47,Arts,Contractual,IT,Agriculture,81040,57043,TUK,1,Self Business:88637,Self Business:98830,Contractual:54322,0
P,44,2021,69,Business,Self Business,Civil,Civil,127112,44691,ABC,0,NA,NA,NA,1
C,47,2022,84,Arts,Contractual,Finance,IT,42820,76843,XYZ,1,Self Business:49095,Self Business:70078,Contractual:134713,0
P,40,2012,50,Law,Contractual,Finance,Agriculture,22799,22906,XYZ,1,Contractual:87740,Salaried:101829,Self Business:90121,1
C,44,2022,80,Business,Salaried,Finance,IT,45195,39568,GHI,1,Contractual:73269,Self Business:124225,Contractual:84814,0
Q,50,2015,65,Law,Self Business,Agriculture,Finance,117851,29646,MNP,1,Contractual:125128,Contractual:117153,Self Business:92522,1
P,47,1998,86,Arts,Self Business,Agriculture,Agriculture,106644,44905,XYZ,1,Contractual:143080,Salaried:91648,Salaried:110369,0
C,41,2020,57,Arts,Self Business,Civil,Civil,97876,53542,GHI,1,Salaried:96942,Salaried:148343,Contractual:90473,1
D,45,2007,42,STEM,Self Business,Agriculture,Finance,78080,33181,XYZ,0,NA,NA,NA,1
P,46,2005,75,Business,Self Business,Civil,IT,87650,43678,PQR,1,Salaried:51694,Contractual:45387,Salaried:119148,0
Q,49,2021,50,Law,Self Business,IT,Civil,102977,52924,ABC,0,NA,NA,NA,1
Q,42,2003,43,Arts,Contractual,Civil,Civil,73191,33018,ABC,1,Contractual:59967,Contractual:99643,Contractual:115783,0
Q,47,2023,62,STEM,Self Business,Finance,Finance,81057,62013,GHI,0,NA,NA,NA,0
Q,42,2015,85,Law,Salaried,Finance,IT,103662,65338,XYZ,1,Contractual:44229,Self Business:85437,Salaried:131789,0
P,45,2011,74,STEM,Salaried,IT,IT,138942,76277,GHI,1,Self Business:120417,Self Business:47060,Salaried:148439,0
P,50,2001,84,Business,Contractual,Agriculture,Civil,46799,63921,GHI,1,Self Business:86510,Salaried:125923,Self Business:121797,1
Q,49,2001,78,STEM,Self Business,Civil,Agriculture,138850,55696,XYZ,1,Contractual:128105,Salaried:72916,Salaried:133096,1
D,43,2020,86,Law,Self Business,Agriculture,Civil,53230,32225,XYZ,0,NA,NA,NA,1
D,42,2021,82,Business,Self Business,Finance,Civil,116881,41974,MNP,0,NA,NA,NA,1
C,42,2014,53,Law,Self Business,Civil,Finance,79116,60967,TUK,1,Self Business:121881,Contractual:85437,Salaried:99956,0
Q,49,2013,79,STEM,Contractual,IT,Civil,107071,48180,GHI,1,Contractual:73924,Contractual:48015,Self Business:100790,1
P,40,2005,72,Law,Salaried,Civil,Finance,119750,73416,TUK,1,Contractual:79225,Self Business:79664,Salaried:81076,0
D,42,2016,49,Arts,Salaried,Finance,Civil,145752,77770,GHI,1,Self Business:70293,Self Business:50321,Contractual:74436,0
C,46,2021,47,Law,Self Business,IT,Civil,54330,69834,ABC,1,Salaried:108590,Self Business:53614,Contractual:96383,1
C,44,2020,74,Arts,Self Business,Finance,Civil,146600,21019,PQR,1,Self Business:77948,Self Business:60112,Salaried:121977,1
P,45,2001,54,Business,Salaried,Agriculture,Finance,148942,39764,TUK,1,Salaried:63823,Contractual:101520,Self Business:54729,0
D,45,2018,53,Business,Self Business,Finance,Civil,149861,38869,GHI,1,Self Business:77789,Salaried:49153,Self Business:132580,0
P,40,2010,61,Law,Self Business,Finance,IT,144424,78284,XYZ,0,NA,NA,NA,1
D,41,2013,79,STEM,Self Business,Finance,Civil,58198,68936,PQR,1,Self Business:72767,Self Business:106544,Contractual:69864,1
Q,40,2002,75,Arts,Self Business,Civil,IT,48791,27610,MNP,0,NA,NA,NA,0
P,50,2004,50,Arts,Self Business,Finance,Agriculture,41039,75009,GHI,1,Contractual:93689,Salaried:43054,Contractual:59285,1
C,44,2000,83,Law,Salaried,Civil,Civil,121251,65596,TUK,1,Contractual:142909,Contractual:58762,Contractual:145518,1
P,49,2016,50,Law,Self Business,Civil,Finance,139752,44851,ABC,0,NA,NA,NA,0
P,45,2006,44,Business,Salaried,Agriculture,Finance,41549,61399,TUK,1,Self Business:99967,Self Business:54423,Contractual:82279,0
P,48,2017,86,Arts,Salaried,IT,Finance,111842,41791,ABC,1,Self Business:40187,Self Business:87478,Self Business:130576,0
Q,49,2000,84,Arts,Self Business,Finance,Civil,53349,32690,GHI,0,NA,NA,NA,1
P,41,2010,46,STEM,Contractual,Civil,Civil,80821,29948,ABC,0,NA,NA,NA,1
Q,43,2009,42,Business,Contractual,Civil,IT,134344,39245,ABC,1,Self Business:118024,Contractual:63018,Self Business:123155,0
C,42,2001,70,STEM,Salaried,Agriculture,Finance,86790,29721,PQR,1,Contractual:59112,Self Business:51542,Self Business:91399,1
C,44,2003,57,STEM,Contractual,Civil,Finance,146640,67039,MNP,1,Contractual:29825,Contractual:24561,Salaried:40334,1
P,44,2000,73,STEM,Contractual,Finance,Civil,116551,30103,GHI,1,Contractual:59673,Self Business:46976,Salaried:75348,0
Q,46,2011,58,Business,Self Business,IT,Finance,104984,72241,MNP,1,Contractual:75267,Contractual:88318,Salaried:127358,0
D,40,2019,56,Arts,Self Business,Civil,IT,41540,33541,ABC,0,NA,NA,NA,0
P,40,2017,60,STEM,Contractual,Civil,Agriculture,134050,77492,XYZ,0,NA,NA,NA,0
Q,46,2009,69,STEM,Contractual,Civil,IT,100589,75507,MNP,0,NA,NA,NA,0
Q,48,2020,73,Business,Salaried,Civil,Agriculture,121392,33260,MNP,1,Salaried:100396,Self Business:96229,Salaried:76594,0
P,44,1998,50,Law,Self Business,Agriculture,Finance,98258,77289,XYZ,1,Salaried:26333,Self Business:30323,Salaried:40807,1
P,45,2016,41,Business,Contractual,Agriculture,Finance,37028,77255,MNP,0,NA,NA,NA,1
P,41,2021,49,Arts,Salaried,IT,Agriculture,40800,37337,PQR,1,Contractual:55413,Self Business:51801,Self Business:129080,1
Q,42,2014,74,Law,Contractual,Finance,IT,103484,70087,ABC,1,Self Business:148764,Contractual:53943,Contractual:71563,0
C,49,2018,42,STEM,Contractual,Finance,IT,86478,28456,MNP,1,Salaried:37028,Salaried:28673,Self Business:39387,1
P,49,2009,53,STEM,Contractual,Agriculture,IT,67495,60212,ABC,1,Salaried:87860,Contractual:49368,Self Business:54454,1
D,44,2002,80,Arts,Contractual,Finance,Agriculture,114594,68301,XYZ,0,NA,NA,NA,1
D,43,2020,88,Arts,Contractual,Agriculture,IT,124547,46278,GHI,0,NA,NA,NA,0
P,49,2022,63,Business,Salaried,IT,Agriculture,124238,38300,TUK,0,NA,NA,NA,1
P,40,2019,58,STEM,Self Business,Finance,Agriculture,57942,36496,XYZ,0,NA,NA,NA,1
Q,48,2002,44,STEM,Contractual,IT,Agriculture,43336,66387,GHI,0,NA,NA,NA,0
P,44,2005,77,Business,Self Business,Civil,Finance,145290,56682,MNP,1,Contractual:141251,Contractual:78877,Contractual:85384,1
P,49,2002,56,Law,Salaried,Agriculture,IT,89976,58718,XYZ,1,Self Business:108819,Salaried:101713,Self Business:45554,1
Q,48,2017,56,Law,Contractual,IT,Finance,90471,42149,XYZ,1,Salaried:71395,Self Business:57725,Self Business:146553,0
D,42,2013,41,Law,Self Business,Civil,Agriculture,57469,32645,PQR,1,Self Business:69230,Contractual:83178,Salaried:127588,0
C,43,2023,48,Law,Self Business,Civil,Finance,44633,36280,PQR,1,Contractual:66288,Contractual:144444,Self Business:40963,0
D,47,2020,89,Arts,Self Business,Civil,Civil,130928,72637,TUK,1,Self Business:112256,Contractual:143114,Contractual:84759,0
C,44,2009,72,STEM,Self Business,Civil,Civil,137106,61906,ABC,1,Contractual:114991,Contractual:82135,Self Business:91637,1
Q,48,2022,87,Business,Contractual,Finance,IT,26373,63167,MNP,1,Self Business:105302,Contractual:104356,Self Business:62348,1
P,41,2005,61,Law,Salaried,IT,Finance,92991,70505,XYZ,0,NA,NA,NA,0
P,43,2014,76,Business,Salaried,Finance,Civil,69136,37942,XYZ,0,NA,NA,NA,0
Q,40,2015,63,STEM,Self Business,Agriculture,IT,134428,55136,PQR,1,Contractual:22277,Salaried:36661,Salaried:39256,1
Q,44,2015,70,Arts,Contractual,Agriculture,IT,80747,69075,PQR,1,Contractual:66409,Contractual:67131,Self Business:69588,0
P,48,2010,77,Business,Salaried,Civil,Agriculture,40244,35861,TUK,0,NA,NA,NA,0
P,43,2012,85,Business,Salaried,Finance,Finance,122141,79018,TUK,1,Contractual:80505,Self Business:94118,Salaried:142313,0
Q,50,2011,76,Arts,Contractual,Finance,IT,143433,26640,TUK,1,Contractual:114187,Contractual:137922,Contractual:112355,1
P,45,2017,52,Business,Contractual,Civil,Civil,41085,49718,TUK,0,NA,NA,NA,0
Q,47,2011,84,STEM,Contractual,Agriculture,Civil,148050,78718,TUK,0,NA,NA,NA,0
C,42,2017,52,Business,Contractual,Civil,Agriculture,139784,21192,TUK,1,Contractual:148948,Self Business:45998,Self Business:95018,0
P,49,2009,88,Law,Salaried,Finance,IT,76468,46834,ABC,1,Contractual:45583,Contractual:65936,Self Business:138935,1
C,49,2022,52,Law,Self Business,Civil,IT,83760,57634,PQR,1,Contractual:41563,Contractual:103854,Contractual:95873,1
Q,45,2012,66,Business,Salaried,Civil,Civil,58586,75555,GHI,0,NA,NA,NA,0
P,45,2000,43,STEM,Self Business,IT,Civil,145757,33207,PQR,1,Self Business:34938,Contractual:29143,Contractual:40528,1
P,40,2010,74,Law,Salaried,Civil,Finance,127697,23521,MNP,0,NA,NA,NA,0
Q,50,2021,57,Business,Self Business,Finance,Civil,71016,48421,XYZ,0,NA,NA,NA,1
C,49,2022,80,Law,Contractual,Agriculture,Finance,85674,28550,ABC,0,NA,NA,NA,0
P,48,2023,87,STEM,Self Business,Finance,Civil,106345,22582,XYZ,0,NA,NA,NA,1
P,47,2003,54,Business,Self Business,IT,IT,129019,51674,XYZ,1,Contractual:91695,Contractual:133116,Contractual:104949,1
C,44,2001,53,STEM,Salaried,Finance,Finance,103889,47463,GHI,0,NA,NA,NA,0
D,49,2012,79,Arts,Self Business,Agriculture,Finance,119346,29348,TUK,0,NA,NA,NA,1
C,49,2001,48,STEM,Salaried,Civil,IT,101690,38949,PQR,0,NA,NA,NA,0
C,50,2022,82,Business,Self Business,Finance,Agriculture,136763,77512,MNP,1,Self Business:128066,Self Business:42169,Salaried:128943,0
D,41,2010,64,STEM,Self Business,Civil,Finance,53000,31012,MNP,0,NA,NA,NA,0
P,50,2002,79,Business,Self Business,Agriculture,Finance,72108,50398,MNP,0,NA,NA,NA,0
C,44,1998,53,STEM,Contractual,Civil,Agriculture,52366,31340,MNP,1,Salaried:35364,Self Business:38382,Self Business:40717,1
C,46,2004,66,STEM,Self Business,Civil,Agriculture,61209,78948,XYZ,1,Self Business:31690,Salaried:34292,Self Business:39393,1
Q,47,2023,64,Business,Contractual,Finance,Civil,145397,45150,MNP,1,Contractual:58539,Salaried:76798,Contractual:95876,0
Q,49,2001,65,Arts,Salaried,Finance,Finance,120753,61169,MNP,1,Contractual:22573,Contractual:27563,Salaried:39840,1
Q,40,2012,88,STEM,Salaried,Finance,Civil,60288,32658,ABC,0,NA,NA,NA,0
D,40,2003,70,Law,Contractual,Finance,Agriculture,114238,47297,TUK,0,NA,NA,NA,0
D,49,2020,73,Business,Self Business,IT,Civil,57451,51925,ABC,0,NA,NA,NA,1
C,48,2015,42,Business,Contractual,Agriculture,Agriculture,127880,64422,GHI,0,NA,NA,NA,0
P,43,2005,72,STEM,Contractual,Agriculture,Finance,44684,77077,ABC,0,NA,NA,NA,1
Q,43,2001,74,STEM,Self Business,Civil,IT,94768,64338,XYZ,1,Contractual:95804,Contractual:49382,Self Business:116886,0
Q,46,2009,59,Law,Contractual,Civil,Finance,60419,66443,XYZ,0,NA,NA,NA,0
P,45,2008,55,Law,Contractual,Finance,Civil,72475,65493,GHI,1,Contractual:80463,Contractual:96121,Self Business:105676,1
D,44,2006,86,Arts,Self Business,Agriculture,Agriculture,129977,67377,TUK,1,Salaried:85724,Contractual:47429,Self Business:148512,0
C,43,2006,66,STEM,Salaried,Civil,IT,135362,43151,PQR,1,Contractual:80744,Contractual:118486,Salaried:53327,0
Q,50,2013,85,STEM,Self Business,Finance,IT,130403,50875,PQR,1,Contractual:135131,Contractual:127091,Contractual:86146,1
Q,45,2015,44,Business,Self Business,Agriculture,Finance,125917,26015,TUK,1,Contractual:43984,Salaried:77667,Self Business:41134,1
C,48,2013,62,STEM,Salaried,IT,Agriculture,117133,25322,TUK,0,NA,NA,NA,0
C,40,2010,68,Business,Salaried,Finance,Agriculture,73615,35252,XYZ,0,NA,NA,NA,0
P,40,2018,73,STEM,Contractual,IT,IT,33961,31181,GHI,0,NA,NA,NA,1
D,49,2012,79,Arts,Contractual,Agriculture,Finance,94675,46449,ABC,1,Self Business:114056,Contractual:83951,Salaried:68094,0
P,48,2005,66,Business,Salaried,Civil,Agriculture,142384,41748,PQR,1,Salaried:60975,Contractual:104303,Self Business:111243,0
P,50,1998,61,Business,Salaried,Agriculture,IT,100386,36785,MNP,1,Self Business:131685,Contractual:76884,Contractual:117922,0
Q,44,1999,60,Law,Contractual,Agriculture,IT,78070,25344,GHI,1,Contractual:124818,Self Business:132906,Self Business:135585,0
Q,43,2017,49,Arts,Self Business,Finance,IT,107509,57636,GHI,0,NA,NA,NA,0
D,43,2021,41,Law,Self Business,IT,Agriculture,89079,52443,PQR,0,NA,NA,NA,0
Q,40,1998,90,Arts,Contractual,Finance,Civil,21037,34343,TUK,0,NA,NA,NA,1
P,49,2022,56,Business,Self Business,IT,Civil,139849,74125,MNP,1,Salaried:103659,Salaried:73542,Self Business:50453,0
P,49,2017,50,STEM,Salaried,Civil,Agriculture,126511,52874,TUK,0,NA,NA,NA,1
P,41,2017,79,Law,Self Business,IT,Agriculture,112575,60597,PQR,1,Salaried:64398,Contractual:115104,Self Business:121115,0
P,40,2009,62,Law,Contractual,Agriculture,Agriculture,81874,30575,XYZ,1,Contractual:98788,Contractual:119301,Contractual:128213,1
D,48,2009,63,Law,Salaried,Civil,Civil,131779,74993,MNP,1,Self Business:114599,Contractual:113957,Self Business:120169,0
P,47,2019,57,STEM,Salaried,Finance,Agriculture,99206,45907,GHI,0,NA,NA,NA,0
D,49,1998,83,Law,Salaried,Civil,Finance,104315,25880,TUK,1,Salaried:92982,Contractual:146393,Contractual:40092,0
Q,45,2003,56,Arts,Self Business,Finance,Agriculture,111660,45570,PQR,0,NA,NA,NA,0
P,41,2008,87,Business,Salaried,Agriculture,Finance,64471,66183,GHI,1,Salaried:47313,Salaried:79980,Self Business:125887,1
Q,40,2003,77,STEM,Salaried,Civil,IT,58008,55680,PQR,0,NA,NA,NA,0
D,44,2018,75,Business,Contractual,IT,Civil,79599,41616,TUK,1,Salaried:98104,Salaried:40223,Salaried:66245,0
Q,41,2000,81,STEM,Salaried,IT,Agriculture,68836,42196,TUK,1,Self Business:94166,Salaried:75138,Contractual:95749,1
